Name,Type,bio,Avatar
Holly Gummyworm,Worm,"Verbally damaging, fondly strong, cleverly possessive",/worm/7.jpg
Jimmie Gummyworm,Worm,"Rather wanting, recently overjoyed, loyally brown",/worm/1.jpg
Henry Gummybear,Bear,"Valiantly heavenly, tenderly futuristic, energetically ugly",/bear/5.jpg
Kenny Gummyfish,Fish,"Quirkily general, hopefully ragged, loudly heartbreaking",/fish/5.jpg
Steven Gummyfish,Fish,"Honestly cut, already temporary, lovingly substantial",/fish/5.jpg
Florence Gummyworm,Worm,"Weakly voracious, playfully puffy, awkwardly unusual",/worm/1.jpg
Christopher Gummyworm,Worm,"Crazily needless, selfishly whispering, joshingly alive",/worm/4.jpg
Stephanie Gummybear,Bear,"Anyway depressed, rigidly noxious, deliberately hesitant",/bear/1.jpg
Scott Gummybear,Bear,"Upright miniature, highly warm, cautiously sophisticated",/bear/5.jpg
Joanne Gummyworm,Worm,"Restfully forgetful, physically needless, evenly terrible",/worm/1.jpg
Felix Gummyworm,Worm,"Thoroughly silky, constantly lazy, unethically furry",/worm/5.jpg
Tom Gummyfish,Fish,"Cruelly shaky, politely absurd, usefully petite",/fish/4.jpg
Clifford Gummyfish,Fish,"Playfully bitter, viciously bashful, sweetly beautiful",/fish/1.jpg
Albert Gummyfish,Fish,"Sternly possessive, upward glorious, never meek",/fish/9.jpg
Annie Gummyfish,Fish,"Everywhere easy, knowingly silent, nearly aboard",/fish/9.jpg
Sandra Gummyfish,Fish,"Else early, weakly purring, defiantly damaged",/fish/7.jpg
Vicki Gummybear,Bear,"Carelessly pale, loyally abject, vacantly proud",/bear/6.jpg
Robert Gummybear,Bear,"Thankfully tawdry, elsewhere terrible, arrogantly painstaking",/bear/6.jpg
Joanne Gummyworm,Worm,"Valiantly jittery, brightly boorish, overconfidently cut",/worm/5.jpg
Blake Gummybear,Bear,"Upside-down disillusioned, honestly macho, rapidly female",/bear/7.jpg
Shelia Gummybear,Bear,"Selfishly silky, promptly furry, recklessly thinkable",/bear/2.jpg
Barbara Gummyfish,Fish,"Overconfidently helpless, unaccountably ugly, cruelly hurt",/fish/5.jpg
Charles Gummybear,Bear,"Elsewhere absent, unbearably hesitant, yawningly squealing",/bear/8.jpg
Georgeanna Gummyworm,Worm,"Rather fretful, even decorous, longingly second",/worm/5.jpg
Arlene Gummyworm,Worm,"Tenderly maniacal, previously needless, somewhat numberless",/worm/5.jpg
Mamie Gummyfish,Fish,"Reproachfully verdant, enormously noiseless, willfully noxious",/fish/6.jpg
Marilyn Gummyfish,Fish,"Beautifully kindhearted, unimpressively acid, usefully warm",/fish/5.jpg
Roy Gummyfish,Fish,"Tightly comfortable, energetically sudden, quicker ratty",/fish/2.jpg
Suzanne Gummyworm,Worm,"Primarily friendly, rigidly spiteful, hourly friendly",/worm/1.jpg
Dustin Gummyfish,Fish,"Unexpectedly fluttering, fast hesitant, joyously swift",/fish/1.jpg
Mary Gummybear,Bear,"Viciously sincere, slightly tired, devotedly vast",/bear/5.jpg
