Name,Type,bio,Avatar
Myron Gummybear,Bear,"Deftly dreary, Frankly same, Shrilly repulsive",/bear/7.jpg
Thelma Gummyworm,Worm,"Else early, Strongly tawdry, Seldom incompetent",/worm/1.jpg
Brian Gummyfish,Fish,"Very cowardly, Eventually cluttered, Exactly fascinated",/fish/7.jpg
Shawn Gummyfish,Fish,"Usefully garrulous, Dearly lazy, Woefully repulsive",/fish/2.jpg
Ronnie Gummyfish,Fish,"Quirkily normal, Inwardly tawdry, Coyly enthusiastic",/fish/5.jpg
Kristie Gummyfish,Fish,"Completely faithful, Arrogantly garrulous, Somewhat heady",/fish/6.jpg
Lauren Gummybear,Bear,"Tremendously skillful, Awkwardly foregoing, Adventurously sudden",/bear/5.jpg
Geoffrey Gummybear,Bear,"Dimly skillful, Strongly silent, Frankly juicy",/bear/3.jpg
Anna Gummyfish,Fish,"Terrifically laughable, Awkwardly spiky, Unfortunately female",/fish/9.jpg
Lori Gummyworm,Worm,"Courageously unable, Strongly rhetorical, Everywhere easy",/worm/9.jpg
Lina Gummyfish,Fish,"Reproachfully foolish, Coyly fluttering, Lazily cluttered",/fish/2.jpg
Katherine Gummybear,Bear,"Joyfully certain, Thoroughly second, Loudly majestic",/bear/1.jpg
Cynthia Gummybear,Bear,"Valiantly neighborly, Fortunately muddled, Mysteriously nasty",/bear/5.jpg
Wendy Gummybear,Bear,"Owlishly needy, Wearily dreary, Righteously sophisticated",/bear/3.jpg
James Gummyfish,Fish,"Beautifully hot, Hardly joyous, Adventurously terrific",/fish/1.jpg
Edward Gummyworm,Worm,"Literally weak, Upright abject, Rapidly sloppy",/worm/3.jpg
Sierra Gummyworm,Worm,"Partially watery, Certainly neighborly, Recklessly nosy",/worm/7.jpg
Lori Gummybear,Bear,"Queasily left, Vaguely labored, Optimistically illustrious",/bear/7.jpg
Elizabeth Gummyfish,Fish,"Tremendously numberless, Unethically female, Upside-down habitual",/fish/6.jpg
David Gummyfish,Fish,"Else watery, Knowingly left, Inwardly moldy",/fish/2.jpg
James Gummybear,Bear,"Coaxingly bewildered, Loudly dreary, Wholly sincere",/bear/9.jpg
Samuel Gummybear,Bear,"Reluctantly heartbreaking, Rigidly beautiful, Bleakly last",/bear/6.jpg
Janette Gummybear,Bear,"Thankfully kindhearted, Basically last, Officially shaky",/bear/9.jpg
Nan Gummyfish,Fish,"Tremendously noxious, Simply miniature, Everywhere hurt",/fish/2.jpg
Timothy Gummybear,Bear,"Never broad, Kiddingly absurd, Wholly aboard",/bear/8.jpg
Mary Gummybear,Bear,"Shakily parallel, Certainly short, Recklessly skinny",/bear/5.jpg
Betty Gummyworm,Worm,"Unaccountably abundant, Kissingly needy, Completely fierce",/worm/9.jpg
Mary Gummybear,Bear,"Upright futuristic, Madly watery, Enthusiastically ragged",/bear/3.jpg
Jonathan Gummybear,Bear,"Cautiously aquatic, Even plastic, Fortunately pink",/bear/7.jpg
Angela Gummybear,Bear,"Upside-down extra-small, Beautifully aboard, Forth silent",/bear/7.jpg
